And I Love Her;Slipknot;Глэм-Рок;;Но я то же;Deftones;Арт рок;;Коле;Noize MC;;;This Love (Pantera);The Beatles;Глэм рок;;Пиво;SOAD;Хеви метал;;Типичная вечеринка с бассейном;Muse;Хеви Метал;;Knives Out;Muse;Рэп-рок;;Hotline Bling;Primus;;;Lover, You Should've Come Over;Muse;;;Short Circuit;Nirvana;;;No Chances;Korn;
My Iron Lung;Metallica;Рэп-рок;;Это был дождь;Twenty One Pilots;Глэм рок;;The Show Mast Go On;ЛСП;;;St.Anger;Metallica;;;Белочка;ЛСП;;;Кино;Metallica;;;Get Lucky (Richard Cheese cover);Aphex Twin;;;A Wolf At the Door;Pink Floyd;;;The Fate of Ophelia;Pantera;;;Can't Get You out of My Head;Oxxxymiron;;;Runaway;Muse;
Living Dead Girl;Muse;Хард-рок;;Heart To Heart;Frank Sinatra;;;Drum Show;Андрей Катиков;;;For Whom The Bell Tolls;Nirvana;;;Wish You Were Here;Twenty One Pilots;;;Быть Орком;Queen;;;Как Мои Дела;Limp Bizkit;;;Tommy The Cat;Muse;;;CANCELLED!;Noize MC;;;4 Raws;Metallica;;;Rapp Snitch Knishes;Daft Punk;
About A Girl;Noize MC;Шугейзинг;;Ayo Technology;Michael Jackson;;;The Unforgiven;The Prodigy;;;Жить по другому;Muse;;;Порнозвезда;Limp Bizkit;;;Я боюсь;Deftnes;;;I Talk To The Wind;Korn;;;A New Level;Aphex Twin;;;Courtship Dating;Limp Bizkit;;;Losing My Religion;KSB muzic;;;Where This Flower Blooms;Nirvana;
Eyeless;Хаски;;;Мегахит;Queen;;;I Could Have Lied;Muse;;;Spitfire;Скриптонит;;;Say It Ain t So;GONE.Fludd;;;Black Star;David Bowie;;;Апатия;Nirvana;;;One Step Closer;Mac DeMarco;;;Ginseng Strip 2002;Queen;;;Stargirl Interlude;Limp Bizkit;;;EXIT;The Weeknd;
Love Buzz;Twenty One Pilots;;;Let It Be;Noize MC;;;Zombie;awfultune;;;Москва;GONE.Fludd;;;Breathe (In the Air);Шарлот;;;Герой;Gorillaz;;;Сразу нет;Noize MC;;;Eclipse;Deftones;;;Killer Queen;Aphex Twin;;;Last Train to London;Noize MC;;;Kiss Me More;Noize MC;
Psycho Killer;ЛСП;;;Ты;Limp Bizkit;;;Rock You Like A Hurricane;Любэ;;;Stairway to Heaven;KSB music;;;Ослепительна;Nirvana;;;Тинкер;Frank Sinatra;;;Chateau;Daft Punk;;;Too Many Puppies;Djo;;;КУПЕР;GONE.Fludd;;;Sunburn;Pantera;;;Word Up!;Oxxxymiron;
Make Me Bad;Шарлот;;;Красный октябрь;Oxxxymiron;;;Still Loving You;Slipknot;;;7 rings;Saluki;;;everything i wanted;Скриптонит;;;Шиншиллы;Twenty One Pilots;;;End of Beginning;GONE.Fludd;;;Cemetery Gates;Korn;;;GONE, GONE/ THANK YOU;Nirvana;;;No Reply;Robert Johnson;;;Налетела грусть;Deftones;
People = Shit;Depeche Mode;;;Fragments of Time;ЛСП;;;Stairway to Heaven; ЖЩ;;;Weird Fishes/Arpeggi;Шарлот;;;I Live for You;Deftones;;;Елены;Slipknot;;;I've Got a Woman;Metallica;;;Светлая полоса;Pantera;;;Cemetery Gates;Frank Sinatra;;;PUPPET;EsDeeKid;;;Sunburn;Gregory Porter;
Stay Away;Слава КПСС;;;Зима;Gone Fludd;;;Truce;GONE.Fludd;;;By the Way;Slipknot;;;Go Go Tape;Metallica;;;Пьяндекс;Noize MC;;;Бог в Деталях;KSB music;;;I Talk To The Wind;Metallica;;;WOOPAAA;ЛСП;;;Harder, Better, Faster, Stronger;Linkin Park;;;In My Life;Gracie Abrams;
Highway to Hell;Linkin Park;;;Unnatural Selection;Muse;;;Hit the Road Jack;Замай;;;Omen;Frank Sinatra;;;Johny B. Goode;Queen;;;SHOW EM;Linkin Park;;;Magic Moment;Deftones;;;WOOPAAA;Slipknot;;;One Step Closer;Metallica;;;Face to Face;Deftones;;;Wet Sand;ЛСП;
Default;GONE.Fludd;;;Blackbird;Хаски;;;Another Brick in The Wall;Хаски;;;Coming Undone;Daft Punk;;;ilomilo;OBLADAET;;;Ветром Снегом Зноем;John Frusciante;;;LV Sandals;Queen;;;"Ain""t Shit";Tyler, The Creator;;;ARE WE STILL FRIENDS?;BMTH;;;On Sight;Queen;;;Can't Tell Me Nothing;Aphex Twin;
Me and the Birds;Vacio;;;Перегарик;Linkin Park;;;Supermassive Black Hole;Nirvana;;;Apologize;Deftones;;;Uprising;Boulevard Depo;;;Johny B. Goode;Jeff Buckley;;;Дружить;Tayler The Creator;;;Roddy;David Bowie;;;Too Many Puppies;Slipknot;;;It Was A Good Day;Aphex Twin;;;PUPPET;GONE.Fludd;
The Sound of Silence - Acoustic Version;Deftones;;;Fade To Black;Скриптонит;;;Wind Of Change;SOAD;;;Survival;Linkin Park;;;Как Достать соседа;John Frusciante;;;ilomilo;Шарлот;;;Телепорт;David Bowie;;;End of Beginning;Queen;;;Tommy The Cat;Pink Floyd;;;Налетела грусть;ЛСП;;;Rock with You;Frank Ocean;
Shame;MORGENSTERN;;;Californication;Слава КПСС;;;Faget;The Beatles;;;Truce;Слава КПСС;;;Save Your Tears;Slipknot;;;Пиво;Антоха МС;;;Русская Инородная Музыка;Скриптонит;;;Ageispolis;Oxxxymiron;;;A New Level;MORGENSHTERN;;;ARE WE STILL FRIENDS?;GONE.Fludd;;;Freaking Out the Neighborhood;Linkin Park;
Dragula;OBLADAET;;;The Less I Know The Better;Saluki;;;18:30.;;;;My Iron Lung;ЗАМАЙ;;;Call Out My Name;SALUKI;;;Uprising;Pink Floyd;;;Drop It Like It's Hot;John Frusciante;;;Pulsewidth;ЛСП;;;Neon Gravestones;Хаски;;;GONE, GONE/ THANK YOU;The Weeknd;;;On Sight;Queen;
ЗП - Правдивая песня пиздабола;AC/DC;;;Колобок;Slipknot;;;Одинокими;;;;Karma Police;Queen;;;Постой паровоз;Frank Sinatra;;;Сатоши;Fun Lovin Criminals;;;Ветром Снегом Зноем;Frank Sinatra;;;Ingenue;Daft Punk;;;Brain Damage;Daft Punk;;;Kiss Me More;Mac DeMarco;;;Man of War;Metallica;
Weird Fishes/Arpeggi;Stevie Wonder;;;Get Lucky;Хлеб;;;ИНОГДА;;;;ИНОГДА;Eminem;;;Снег Идет;awfultune;;;Белочка;Oxxxymiron;;;Банк;Slipknot;;;Chateau;Arctic Monkeys;;;Too Much To Ask;Deftones;;;Ginseng Strip 2002;Imagine Dragons;;;Losing My Religion;Frank Sinatra;
7 Words;David Bowie;;;Студент;OBLADAET;;;А река течет;;;;Scar Tissue;Boulevard Depo;;;Лоботомия;Daft Punk;;;Ослепительна;The Prodigy;;;Песнь Песней;The Prodigy;;;Weirs Fishes;Шарлот;;;Take My Breath;Arctic Monkeys;;;Floods;Slipknot;;;Weird Fishes;Arctic Monkeys;
Every Breath You Take;Скриптонит;;;Empty Walls;LAZZY2WICE;;;St. Anger;;;;Ride;Кровосток;;;Default;Слава КПСС;;;Stairway To Heaven;Егор Летов;;;Приключения;Шарлот;;;Black Star;Хаски;;;This Love (Pantera);KSB muzic;;;Train Dreams;Stromae;;;End of Beginning;Imagine Dragons;
All in The Family;MellSher;;;Дота 2;Boulvard Depo;;;Coming Undone;;;;18:30.;Монеточка;;;Street Spirit;The Prodigy;;;Дота 2;Arctic Monkeys;;;Lost & Found;Gorillaz;;;MANTRA;Linkin Park;;;For The First Time;SQWOZ BAB;;;Me and the Devil Blues;Pink Floyd;;;Chateau;SALUKI;
High and Dry;Duster;;;Я вытащу тебя со дна;Шарлот;;;Omen;;;;Street Spirit;Tyler, The Creator;;;No Suprises;David Bowie;;;Студент;Daft Punk;;;Светлая полоса;Jeff Buckley;;;You Gotta Move;Drake;;;I THINK;Imagine Dragons;;;Weird Fishes/ Arpeggi;Frank Sinatra;;;This Night Has Opened My Eyes;Boulevard Depo;
Bohemian Rhapsody;2rbina 2rista;;;Сахарная пудра;Мы;;;Apologize;;;;Just;SQWOZ BAB;;;SHOW EM;ХЛЕБ;;;Wish You Were Here;Mac DeMarco;;;Ain't Shit;Bloodhound Gang;;;Teardrops;John Frusciante;;;Eclipse;Скриптонит;;;Got The Life;Шарлот;;;Wish You Were Here;Gorillaz;
Cool Cat;Eminem;;;Nothing Else Matter;Davied Bowie;;;Hard to Concentrate;;;;Instant Crush;Arctic Monkeys;;;This Love (Pantera);MORGENSTERN;;;Кент;Скриптонит;;;Vintage;FACE;;;Seven Years in Tibet;Frank Sinatra;;;EARFQUAKE;Linkin Park;;;Cemetery Gates;Слава КПСС;;;I Talk To The Wind;awfultune;
Fly Me To The Moon;Green Day;;;Yesterday;AC/DC;;;Road Trippin;;;;All I Need;ATL;;;Weird Fishes;Fun Lovin Criminals;;;Зима;GONE.Fludd;;;Елены;ХЛЕБ;;;My Name is Mud;Michael Jackson;;;Xtal;Слава КПСС;;;Creep - Live (Korn cover);Davied Bowie;;;Roddy;C418;
Survival;SALUKI;;;Happy;Любэ;;;Clown;;;;Isolate;MORGENSHTERN;;;Falling Away from Me;Грязь;;;Но я то же;awfultune;;;A Wolf At The Door;awfultune;;;Get Lucky (Richard Cheese cover);Gorillaz;;;Sunlight;John Frusciante;;;Killer Queen;Arctic Monkeys;;;Chamber Of Reflection;Eminem;
A.D.I.D.A.S.;Serj Tankian;;;Lose Yourself to Dance;;;;Weird Fishes;;;;Faget;Loqiemean;;;Survival;The Weeknd;;;ДЕП;A Perfect Circle;;;Tomorrow Comes Today;ПЕРЕУЧЕТ;;;Warriors;SQWOZ BAB;;;Falling Away from Me;Kanye West;;;Осень;John Frusciante;;;Ginseng Strip 2002;Slipknot;
Somebody Someone;(HED)P.E.;;;One;;;;Queen of Disaster;;;;Time is Running Out;Gorillaz;;;Riders on the Storm;Loqiemean;;;Ingenue;9mice;;;Герой;Linkin Park;;;Street Spirit;ХЛЕБ;;;A Wolf At the Door;SALUKI;;;Lover, You Shoul've Come Over;Jimi Hendrix;;;Одинокими;KSB muzic;
Фанк;OG Buda;;;Break Stuff;;;;Hey;;;;Around the World;Валентин Стрыкало;;;Creep - Acoustic;grandson;;;Коле;SQWOZ BAB;;;Can't Take My Eyes off You;Arctic Monkeys;;;Mind Control;KSB muzic;;;QKThr;Кровосток;;;The Sound of Silence - Acoustic Version;Taylor Swift;;;ИНОГДА;John Frusciante;
Twist;Валентин Стрыкало;;;Баратрум;;;;Goodbay Angels;;;;No Surprises;Big Russian Boss;;;My Iron Lung;Eminem;;;Дружить;Bloodhound Gang;;;Black Star;Papa Roach;;;Whatever It Takes;The Weeknd;;;Logic;Boulevard Depo;;;Stairway to Heaven;OBLADAET;;;ВТОРНИК;Stromae;
I Want To Break Free;Rob Zombie;;;Me and the Birds;;;;Fade to Black;;;;We Are The Champions;David Bowie;;;Just;ATL;;;Сахарная Пудра;HED P.E.;;;Lose Yourself to Dance;EsDeeKid;;;Wish You Were Here;Bloodhound Gang;;;bitches broken hearts;Gorillaz;;;One More Time;SQWOZ BAB;;;ДАЛЕКО;Pantera;
Кухни;Papa Roach;;;We Are The Champions;;;;Eyeless;;;;Blind;OBLADAET;;;Громко;Mac DeMarco;;;Fade to Black;Loqiemean;;;Пьяндекс;Fun Lovin Criminals;;;Chamber Of Reflection;Royal Blood;;;Pulsewidth;Eminem;;;A Wolf At the Door;MellSher;;;Heart To Heart;Pink Floyd;
That's Life;SQWOZ BAB;;;Twist;;;;The Pantaloon;;;;High and Dry;FACE;;;Goodbye Angels;Кишлак;;;Ты;Primus;;;Быть орком;Mac DeMarco;;;in the dark;Serj Tankian;;;Freak On a Leash;David Bowie;;;Demons;Bloodhound Gang;;;On the Level;The Prodigy;
Undisclosed Desires;Stromae;;;Speed Demon;;;;Nothing Else Matter;;;;The Pantaloon;The Prodigy;;;People Are Strange;ПЕРЕУЧЕТ;;;Осень;Stevie Wonder;;;Lonely Day;Кровосток;;;Heart To Heart;Fun Lovin' Criminals;;;Ageispolis;The Prodigy;;;Courtship Dating;Монеточка;;;Средний пальчик;Taylor Swift;
Seaside Rendezvous;Валентин Дядька;;;Everlong;;;;Yesterday;;;;Old Yellow Bricks;SLAVA MARLOW;;;Creep  ;Mellsher;;;Я вытащу тебя со дна;Pantera;;;Ingenue;Boulevard Depo;;;"It""s Been A Long, Long Time";Кровосток;;;Theme From New York, New York;Primus;;;New Born;ХЛЕБ;;;EARFQUAKE;Serj Tankian;
Smells Like Teen Spirit;John Frusciante;;;Shame;;;;One;;;;;Bloodhound Gang;;;kanye west diss;Arctic Monkeys;;;Баратрум;Rob Zombie;;;Friday Night;The Notorious B.I.G.;;;Out of the Black;The Prodigy;;;Ptolemy;Stevie Wonder;;;Some;awfultune;;;L-O-V-E;Davied Bowie;
Blind;Atoms For Peace;;;Every Breath You Take;;;;Californication;;;;Everlong;Yanix;;;One;Pink Floyd;;;Bored;Слава КПСС;;;Lover, You Shoud've Come Over;Stevie Wonder;;;Falling Away from Me;Eminem;;;It Was A Good Day;Mellsher;;;One  ;Скриптонит;;;о чем мечтать?;Gazan;
Serious;Gorillaz;;;Smooth Criminal;;;;By The Way;;;;Маг;John Frusciante;;;Digital Bath;Кровосток;;;Weird Fishes;Michael Jackson;;;Get Lucky  ;Слава КПСС;;;BIOS;King Crimson;;;Ingenue;Djo;;;By the Way;Земфира;;;For the First Time;Шарлот;
Strangers In The Night;Bloodhound Gang;;;Today;;;;Seek And Destroy;;;;Громко;ПЕРЕУЧЕТ;;;Roxanne;Монеточка;;;One;Led Zeppelin;;;Fragments of Time;Антоха МС;;;Knives Out;GONE.Fludd;;;No More Tears;Richard Cheese;;;Next Semester;Billie Eilish;;;Moonlight on the River;MORGENSHTERN;
For No One;The Neighbourhood;;;Living Dead Girl;;;;Blind;;;;All Apologies;Serj Tankian;;;Marigold;PHARAOH;;;Something About Us;Elvis Presley;;;Шиншиллы;(Hed) P.E.;;;#3;Saluki;;;Jigsaw Falling Into Place;Billie Eilish;;;Seven Years in Tibet;Bouevard Depo;;;bitches broken hearts;Primus;
Under Pressure;;;;Polly;;;;Ты неси меня река;;;;kanye west diss;;;;All I Need;;;;By The Way;;;;Xtal;;;;Avril 14th;;;;No Suprises;;;;End of Beginning;;;;Доспех Мертвеца;;
;;;;;;;;;;;;;;;;High and Dry;;;;Hey;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RHCP - 34\9 - 3,8;;;Weird Fishes -6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RHCP - 42\11 - 3,8;;;Weird Fishes - 8;;;
Radiohead - 51\9 - 5,7;;;Ingenue - 5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Radiohead - 66\11 - 6;;;Ingenue - 5;;;
Korn - 69\9 - 7,7;;;One - 4;;;The Bends;;Национальность: нет;;Californication;;Korn;;The Dark Side of The Moon;;Metallica;;Прессвятой попс;;KSB MUZIC 4;;KSB MUZIC 3;;Ксб музик;;Ксб музик 2;;Судный день;;IGOR;;;;;;The Beatles - 82\11 - 7,45;;;One - 5;;;
The Beatles - 75\9 - 8,3;;;By The Way - 3;;;High and Dry - 3;;Как Мои Дела - 1;;Scar Tissue - 1;;Blind - 3;;Breathe - 1;;Nothing Else Matter - 2;;Коле - 2;;Студент - 2;;Пиво -  2;;Осень - 3;;Бас - 1;;Пьяндекс - 2;;EARFQUAKE - 1;;;;;;Korn - 84\11 - 7,6;;;By The Way - 4;;;
SOAD - 78\9 - 8,7;;;Blind - 3;;;My Iron Lung - 3;;Vintage - 1;;Californication - 2;;Faget - 2;;Eclipse - 2;;The Unforgiven - 1;;На урсе - 1;;Ослепительна - 2;;Белочка - 2;;Но я то же - 2;;Когда-нибудь - 1;;Пауза - 1;;ARE WE STILL FRIENDS? - 2;;;;;;Twenty One Pilots - 86\11 - 7,8;;;A Wolf At the Door - 4;;;
Twenty One Pilots - 78\9 - 8,7;;;High and Dry - 3;;;Black Star - 3;;Приключекния - 1;;Around the World - 1;;Clown - 2;;Brain Damage - 2;;3;;Я вытащу тебя со дна - 1;;Тинкер - 1;;Ты - 2;;Дота 2;;Баратрум - 2;;Шиншиллы - 2;;I THINK - 1;;;;;;SOAD - 97\11 - 8,8;;;Stairway to Heaven - 4;;;
Muse - 91\9 - 11,3;;;My Iron Lung - 3;;;Street Spirit - 3;;Lost & Found - 1;;Road Trippin - 1;;7;;5;;;;Дура - 1;;5;;6;;7;;4;;Кино - 1;;GONE, GONE/ THANK YOU - 2;;;;;;Muse - 110\11 - 10;;;End of Beginning - 4;;;
Nirvana - 113\9 - 12,5;;;Black Star - 3;;;Just - 2;;Банк - 1;;5;;;;;;;;Кент - 1;;;;;;;;;;Герой- 2;;PUPPET - 1;;;;;;Oxxxymiron - 130\11 - 11,8;;;Wish You Were Here - 4;;;
Oxxxymiron - 101\9 - 12,6;;;Street Spirit - 3;;;14;;Песнь Песней - 1;;;;;;;;;;6;;;;;;;;;;Елены - 2;;7;;;;;;Nirvana - 138\11 - 12,5;;;Street Spirit - 3;;;
Noize MC - 114\9 - 12,7;;;Wish You Were Here - 3;;;;;Русская Инородная Музыка - 1;;;;;;;;;;;;;;;;;;;;Дружить - 2;;;;;;;;Noize MC - 146\11 - 13,3;;;Black Star - 3;;;
ЛСП - 118\9 - 13,1;;;This Love (Pantera) - 3;;;;;Бог В Деталях - 1;;;;;;;;;;;;;;;;;;;;Апатия - 1;;;;;;;;ЛСП - 163\11 - 14,8;;;This Love (Pantera) - 3;;;
KSB music - 110\8 - 13,75;;;Falling Away from Me - 3;;;;;8;;;;;;;;;;;;;;;;;;;;13;;;;;;;;Metallica - 164\11 - 14,9;;;Falling Away from Me - 3;;;
Metallica - 124\9 - 13,8;;;A Wolf At the Door - 3;;;;;;;;;;;;;;;;;;;;;;;;;;;Cemetery Gates - 3 месяца подряд;;;;;;Limp Bizkit - 169\11 - 15,4;;;Blind - 3;;;
Хаски - 135\9 - 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ginseng Strip 2002 - 3 месяца подряд;;;;;;KSB music - 162\10 - 16,2;;;My Iron Lung - 3;;;
Limp Bizkit - 144\9 - 16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Daft Punk - 198/10 - 19,8;;;High and Dry - 3;;;
Queen - 180\9 - 20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Queen - 228\11 - 20,7;;;Lover, You Should've Come Over - 3;;;
GONE.Fludd - 212\9 - 23,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Хаски - 235\11 - 21,3;;;Осень - 3;;;
Шарлот 269\9 - 29,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;GONE.Fludd - 260\11 - 23,6;;;Cemetery Gates - 3;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Djo - 126/5 - 25,2;;;Chateau - 3;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mac DeMarco - 252/10 - 25,2;;;I Talk To The Wind - 3;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Шарлот 350\11 - 31,8;;;Roddy - 3;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chamber Of Reflection - 3;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ginseng Strip 2002;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ИНОГДА - 3;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Heart To Heart - 3;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;For the Feast Time - 3;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bitches broken heart - 3;;;
